n,S_obs,Q1,Q2,final_run_yield,chao2,share_seen,still_rising,cell,field,A_curve
24,9,0,0,0.0,9.0,1.0,False,uk-supermarkets/gemini,brandsNamed,"[6.92, 8.0, 8.3, 8.43, 8.52, 8.6, 8.66, 8.72, 8.78, 8.82, 8.86, 8.89, 8.92, 8.94, 8.96, 8.97, 8.98, 8.99, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
24,48,18,8,0.75,67.40625,0.7121001390820584,True,uk-supermarkets/gemini,domains,"[11.08, 16.21, 19.84, 22.74, 25.18, 27.3, 29.18, 30.89, 32.45, 33.91, 35.27, 36.56, 37.77, 38.92, 40.02, 41.07, 42.07, 43.02, 43.94, 44.82, 45.66, 46.47, 47.25, 48.0]"
24,8,0,0,0.0,8.0,1.0,False,uk-supermarkets/openai,brandsNamed,"[6.92, 7.58, 7.82, 7.92, 7.97, 7.99, 7.99, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]"
24,18,6,5,0.25,21.45,0.8391608391608392,True,uk-supermarkets/openai,domains,"[2.88, 4.52, 5.96, 7.23, 8.36, 9.36, 10.25, 11.05, 11.78, 12.44, 13.04, 13.6, 14.11, 14.59, 15.04, 15.46, 15.85, 16.22, 16.56, 16.89, 17.2, 17.48, 17.75, 18.0]"
24,5,0,1,0.0,5.0,1.0,False,nordic-care/gemini,brandsNamed,"[2.42, 3.15, 3.59, 3.89, 4.11, 4.27, 4.4, 4.5, 4.58, 4.65, 4.7, 4.75, 4.8, 4.84, 4.87, 4.9, 4.92, 4.95, 4.96, 4.98, 4.99, 5.0, 5.0, 5.0]"
24,97,41,12,1.7083333333333333,164.1232638888889,0.5910191992383772,True,nordic-care/gemini,domains,"[17.75, 28.8, 37.12, 43.69, 49.1, 53.67, 57.65, 61.2, 64.41, 67.36, 70.12, 72.72, 75.18, 77.52, 79.77, 81.93, 84.02, 86.04, 88.0, 89.9, 91.74, 93.54, 95.29, 97.0]"
24,5,0,0,0.0,5.0,1.0,False,nordic-care/openai,brandsNamed,"[3.08, 3.73, 4.08, 4.3, 4.45, 4.56, 4.65, 4.71, 4.77, 4.82, 4.86, 4.89, 4.92, 4.94, 4.96, 4.97, 4.98, 4.99, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
24,29,12,6,0.5,40.5,0.7160493827160493,True,nordic-care/openai,domains,"[5.67, 8.81, 11.13, 12.99, 14.53, 15.84, 16.99, 18.03, 18.99, 19.88, 20.72, 21.51, 22.28, 23.01, 23.71, 24.39, 25.04, 25.67, 26.28, 26.87, 27.43, 27.98, 28.5, 29.0]"
