industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
consulting,3,sonar,15,7,0,7.0,False,6.87,7.0,7.0,7.0,1.0,1.0,1.0,0.981
saas,1,sonar,15,5,0,5.0,False,3.8,4.57,4.9,5.0,0.914,0.981,1.0,0.831
saas,3,grok-4.5,15,3,0,3.0,False,2.13,2.57,2.9,3.0,0.857,0.968,1.0,0.83
ecommerce,2,gemini-3.7-flash,15,3,1,3.0,True,1.47,2.29,2.67,3.0,0.764,0.889,1.0,0.64
fintech,0,mistral-large,15,9,1,9.23,True,5.6,7.46,8.48,9.0,0.808,0.918,0.975,0.751
consulting,7,claude-sonnet-5,15,7,0,7.0,False,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0
consulting,9,claude-sonnet-5,15,7,0,7.0,False,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0
fintech,2,gemini-3.7-flash,15,3,0,3.0,False,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
ecommerce,9,grok-4.5,15,4,0,4.0,False,2.93,3.85,4.0,4.0,0.962,0.999,1.0,0.763
fintech,8,sonar,15,3,0,3.0,False,2.8,3.0,3.0,3.0,1.0,1.0,1.0,0.933
ecommerce,7,gpt-5.6-luna,15,3,1,3.0,True,1.73,2.33,2.67,3.0,0.778,0.889,1.0,0.743
consulting,8,sonar,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
consulting,4,sonar,15,4,2,4.93,True,2.13,2.67,3.33,4.0,0.541,0.676,0.811,0.8
saas,9,grok-4.5,15,2,0,2.0,False,1.93,2.0,2.0,2.0,1.0,1.0,1.0,0.967
ecommerce,3,claude-sonnet-5,15,2,1,2.0,True,1.07,1.33,1.67,2.0,0.667,0.833,1.0,0.8
consulting,8,gpt-5.6-luna,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
healthtech,7,gemini-3.7-flash,15,5,0,5.0,False,2.0,4.14,4.88,5.0,0.828,0.976,1.0,0.483
fintech,8,gpt-5.6-luna,15,4,1,4.0,True,1.93,3.24,3.67,4.0,0.811,0.917,1.0,0.596
fintech,8,gemini-3.7-flash,15,4,0,4.0,False,2.93,3.96,4.0,4.0,0.991,1.0,1.0,0.74
consulting,1,claude-sonnet-5,15,9,2,9.93,True,6.8,7.67,8.33,9.0,0.772,0.839,0.906,0.887
ecommerce,3,gpt-5.6-luna,15,1,0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
consulting,9,mistral-large,15,9,1,9.47,True,6.67,7.9,8.57,9.0,0.835,0.905,0.951,0.843
ecommerce,8,gemini-3.7-flash,15,3,0,3.0,False,2.07,2.96,3.0,3.0,0.986,1.0,1.0,0.699
