industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
saas,4,gemini-3.7-flash,15,3,1,3.0,True,1.4,2.25,2.67,3.0,0.75,0.889,1.0,0.622
ecommerce,5,grok-4.5,15,2,0,2.0,False,0.67,1.56,1.9,2.0,0.782,0.952,1.0,0.426
saas,4,grok-4.5,15,7,2,8.87,True,1.93,4.56,6.19,7.0,0.514,0.698,0.789,0.424
fintech,7,grok-4.5,15,5,0,5.0,False,4.07,4.85,5.0,5.0,0.969,0.999,1.0,0.839
consulting,6,grok-4.5,15,9,0,9.0,False,7.0,8.8,9.0,9.0,0.978,1.0,1.0,0.795
healthtech,9,grok-4.5,15,6,2,6.93,True,3.6,4.66,5.33,6.0,0.672,0.769,0.865,0.773
consulting,6,claude-sonnet-5,15,8,0,8.0,False,6.07,7.94,8.0,8.0,0.992,1.0,1.0,0.764
saas,0,grok-4.5,15,7,2,8.87,True,3.53,5.08,6.23,7.0,0.573,0.703,0.789,0.695
healthtech,2,sonar,15,3,0,3.0,False,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
consulting,5,mistral-large,15,9,0,9.0,False,8.33,8.92,9.0,9.0,0.991,1.0,1.0,0.935
ecommerce,1,sonar,15,3,1,3.0,True,1.93,2.33,2.67,3.0,0.778,0.889,1.0,0.829
fintech,3,mistral-large,15,6,0,6.0,False,4.33,5.73,5.98,6.0,0.955,0.996,1.0,0.757
consulting,8,claude-sonnet-5,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
saas,4,claude-sonnet-5,15,1,0,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecommerce,5,sonar,15,1,1,1.0,True,0.07,0.33,0.67,1.0,0.333,0.667,1.0,0.2
