industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
consulting,6,sonar,15,8,0,8.0,False,5.6,7.45,7.9,8.0,0.931,0.988,1.0,0.752
fintech,2,mistral-large,15,21,4,22.24,True,8.33,15.16,19.07,21.0,0.681,0.857,0.944,0.55
ecommerce,2,mistral-large,15,23,4,26.73,True,11.87,18.66,21.43,23.0,0.698,0.802,0.86,0.636
fintech,7,sonar,15,8,1,8.0,True,5.8,7.07,7.64,8.0,0.884,0.956,1.0,0.82
healthtech,5,claude-sonnet-5,15,79,23,92.71,True,20.93,51.56,69.33,79.0,0.556,0.748,0.852,0.406
saas,0,gemini-3.7-flash,15,12,3,16.2,True,6.07,9.38,10.9,12.0,0.579,0.673,0.741,0.647
healthtech,4,sonar,15,10,0,10.0,False,7.4,9.6,9.99,10.0,0.96,0.999,1.0,0.771
saas,6,claude-sonnet-5,15,12,1,12.0,True,9.87,11.32,11.67,12.0,0.944,0.972,1.0,0.871
consulting,1,grok-4.5,15,23,4,28.6,True,13.0,19.52,21.64,23.0,0.683,0.757,0.804,0.666
healthtech,0,gpt-5.6-luna,15,17,3,19.8,True,8.13,13.92,15.95,17.0,0.703,0.805,0.859,0.584
fintech,6,sonar,15,7,0,7.0,False,5.27,6.95,7.0,7.0,0.993,1.0,1.0,0.758
fintech,1,sonar,15,11,3,15.2,True,6.13,8.51,9.9,11.0,0.56,0.652,0.724,0.721
healthtech,7,claude-sonnet-5,15,15,5,24.33,True,7.4,11.45,13.33,15.0,0.471,0.548,0.616,0.646
ecommerce,0,gpt-5.6-luna,15,11,3,13.8,True,6.93,9.0,10.0,11.0,0.652,0.725,0.797,0.77
fintech,3,claude-sonnet-5,15,6,0,6.0,False,5.2,5.98,6.0,6.0,0.997,1.0,1.0,0.869
saas,1,gpt-5.6-luna,15,8,0,8.0,False,7.6,8.0,8.0,8.0,1.0,1.0,1.0,0.95
consulting,6,gpt-5.6-luna,15,25,6,29.2,True,10.47,18.17,22.53,25.0,0.622,0.772,0.856,0.576
healthtech,8,grok-4.5,15,19,4,26.47,True,10.4,15.46,17.56,19.0,0.584,0.664,0.718,0.673
saas,4,gpt-5.6-luna,15,11,2,11.93,True,5.53,8.5,10.12,11.0,0.712,0.848,0.922,0.651
healthtech,9,sonar,15,9,2,9.93,True,5.07,7.53,8.33,9.0,0.758,0.839,0.906,0.673
healthtech,0,grok-4.5,15,10,0,10.0,False,6.33,9.02,9.81,10.0,0.902,0.981,1.0,0.702
saas,4,mistral-large,15,15,6,29.0,True,7.8,10.47,12.96,15.0,0.361,0.447,0.517,0.745
fintech,8,mistral-large,15,42,7,46.57,True,21.13,33.65,39.09,42.0,0.723,0.839,0.902,0.628
consulting,7,grok-4.5,15,21,3,22.4,True,12.6,17.28,19.71,21.0,0.771,0.88,0.938,0.729
healthtech,0,claude-sonnet-5,15,14,3,18.2,True,7.87,11.37,12.9,14.0,0.625,0.709,0.769,0.692
fintech,6,gemini-3.7-flash,15,30,5,33.89,True,13.93,24.09,27.97,30.0,0.711,0.825,0.885,0.579
consulting,4,claude-sonnet-5,15,25,7,30.72,True,10.4,18.33,22.28,25.0,0.597,0.725,0.814,0.567
