tickets,our_p5,reviewer_p5,abs_diff,paper_floor
26,35.6833,35.6833,0.0,35.7
39,39.2235,39.1674,0.0561,39.3
188,46.6041,46.5802,0.0239,46.6
196,46.6843,46.6875,0.0032,46.7
200,46.7259,46.7168,0.0091,46.7
