source,units,balls,N_eff,chi2,df,p,top1_share_pct,top6_share_pct,top6_numbers,rank_of_42,count_42,share_1_31_pct,mean_ball,fair_N_eff_p5,fair_top_p95,outside_envelope,invalid_pct,duplicate_pct,failed_pct,ascending_pct,distinct_tickets,modal_ticket,modal_ticket_pct
Polish Lotto summer 1999,26 draws,156,41.1,29.9,48,0.9809,4.5,22.4,16 25 24 19 23 34,48/49,1,67.3,23.9,35.7,9,no,,,,,,,
Polish Lotto summer 2026,39 draws,234,41.4,42.8,48,0.6841,4.3,21.4,31 7 8 9 18 20,49/49,1,68.8,24.19,39.3,12,no,,,,,,,
claude-sonnet-5 (EN),196 runs,1176,13.5,3094.8,48,0.0,14.4,59.0,7 14 35 22 29 41,8/49,56,66.8,24.86,46.7,39,yes,2.0,0.0,0.0,99.5,36,7 14 22 29 35 41,26.0
gemini-3.7-flash (EN),200 runs,1200,9.9,4726.1,48,0.0,14.6,71.2,7 23 14 31 42 48,5/49,90,63.8,27.0,46.7,40,yes,0.0,0.0,0.0,100.0,36,7 14 23 31 42 48,38.0
gpt-5.6-luna (EN),200 runs,1200,12.4,3550.3,48,0.0,8.8,51.8,31 38 7 14 22 46,47/49,0,66.7,25.01,46.7,40,yes,0.0,0.0,0.0,100.0,8,7 14 22 31 38 46,50.5
grok-4.5 (EN),200 runs,1200,18.0,2074.9,48,0.0,9.6,51.0,48 31 23 7 42 14,5/49,100,64.3,26.58,46.7,40,yes,0.0,0.0,0.0,87.0,93,7 14 23 31 42 48,22.5
mistral-large (EN),188 runs,1128,13.2,3070.8,48,0.0,14.3,58.7,19 23 7 12 42 31,5/49,81,68.0,24.42,46.6,38,yes,6.0,0.0,6.0,27.7,24,7 12 19 23 31 45,26.6
sonar (EN),200 runs,1200,10.5,4376.8,48,0.0,14.6,72.7,46 23 14 7 28 35,30/49,2,66.3,25.27,46.7,40,yes,0.0,0.0,0.0,99.0,30,7 14 23 28 35 46,68.0
