source,tickets,balls,neff_obs,neff_obs_rounded,fair_floor_p5,sim_median,p_mc_neff_low,exceedances,top_count_obs,top_count_p95,share_1_31_pct,p_mc_share131_two_sided,B,seed
Polish Lotto summer 1999,26,156,41.1081,41.1,35.6833,38.5063,0.9521024,19042,7,9,67.3,0.3078846,20000,20260904
Polish Lotto summer 2026,39,234,41.4191,41.4,39.2235,41.4818,0.4874756,9749,10,12,68.8,0.0693965,20000,20260905
claude-sonnet-5,196,1176,13.4927,13.5,46.6843,47.2877,0.0000500,0,169,39,66.8,0.0087996,20000,20260907
gemini-3.7-flash,200,1200,9.9223,9.9,46.7259,47.3248,0.0000500,0,175,40,63.8,0.6863657,20000,20260908
gpt-5.6-luna,200,1200,12.3782,12.4,46.7259,47.3248,0.0000500,0,105,40,66.7,0.0122994,20000,20260908
grok-4.5,200,1200,17.9547,18.0,46.7259,47.3248,0.0000500,0,115,40,64.3,0.4335783,20000,20260908
mistral-large,188,1128,13.1638,13.2,46.6041,47.2303,0.0000500,0,161,38,68.0,0.0007000,20000,20260906
sonar,200,1200,10.5437,10.5,46.7259,47.3248,0.0000500,0,175,40,66.3,0.0216989,20000,20260908
